"time",20,21
100,65,59
200,123,116
301,224,144
404,326,176
508,431,206
612,534,232
712,634,258
812,734,290
913,836,324
1016,938,366
1117,1038,398
1217,1139,425
1326,1247,461
1427,1349,499
1529,1450,526
1629,1550,555
1729,1650,582
1829,1750,612
1930,1851,638
2030,1951,662
